"HID","probs","pred_labels"
747,2.54809899376434e-13,0
748,1.25864013806879e-13,0
809,0.00073428896306751,0
810,0.000171029270299999,0
811,0.000730922422027949,0
816,1.9054514588526e-07,0
817,1.75318190405655e-07,0
818,8.90451954305202e-08,0
819,4.07308331523969e-08,0
822,4.81547523870923e-10,0
823,1.58618690871588e-10,0
825,1.2546268234688e-11,0
826,2.73595451859726e-12,0
827,4.22505330229574e-13,0
828,1.351664978831e-13,0
829,2.22044604925031e-16,0
889,0.0219512034297773,0
890,0.00284349341455322,0
891,0.0027368202909621,0
892,0.0113269549472701,0
898,2.25161802470057e-07,0
899,1.50538577005916e-07,0
900,5.57990895962981e-08,0
901,1.99640950041865e-08,0
904,2.64816649600192e-10,0
905,8.83167374101848e-11,0
906,2.58722200775016e-11,0
907,5.44066276342414e-12,0
908,6.97989300526891e-13,0
909,2.01777176093682e-13,0
910,1.52371649243566e-13,0
911,2.22044604925031e-16,0
972,0.00805950378885455,0
973,0.0220847955237498,0
979,3.5931809195915e-07,0
980,3.12015320988663e-07,0
981,1.18802599098447e-07,0
982,3.47855826587742e-08,0
983,9.09233794721176e-09,0
985,7.40256045244245e-10,0
986,1.79689161277216e-10,0
987,4.41795626897212e-11,0
988,1.10361562649641e-11,0
989,2.22138257601768e-12,0
990,3.51348751530397e-13,0
991,1.50380763806569e-13,0
992,1.46123325310113e-13,0
1060,2.91614423178999e-07,0
1061,2.03405851943471e-07,0
1062,8.25464863069836e-08,0
1063,2.53509467652058e-08,0
1064,7.61014733285687e-09,0
1065,2.23141287005911e-09,0
1066,4.65657392627596e-10,0
1067,9.64642355929676e-11,0
1068,1.92599115675777e-11,0
1069,4.33237867176447e-12,0
1070,7.78369427373162e-13,0
1071,2.22670872347658e-13,0
1072,2.02312960724389e-13,0
1073,1.28075803190048e-13,0
1141,3.93117668383061e-07,0
1142,2.95181604230242e-07,0
1143,1.46371025104658e-07,0
1144,4.87738752619354e-08,0
1145,1.22111388095823e-08,0
1146,5.55491733855272e-09,0
1147,1.47949069287433e-09,0
1148,2.32113337253949e-10,0
1149,4.02694215131361e-11,0
1150,7.53788710549434e-12,0
1151,1.55449171045364e-12,0
1152,4.04263079271689e-13,0
1153,2.44365708444618e-13,0
1154,2.81743004325516e-13,0
1155,2.22044604925031e-16,0
1188,2.22044604925031e-16,0
1222,6.06441041257349e-07,0
1223,3.57119768645687e-07,0
1224,2.24357427211267e-07,0
1225,1.13242288750328e-07,0
1226,3.8848632535145e-08,0
1227,1.03632489628756e-08,0
1228,3.84281590328952e-09,0
1229,7.94420288421721e-10,0
1230,1.13288067545178e-10,0
1231,1.47409785707209e-11,0
1232,2.69178791067737e-12,0
1233,6.87141639089145e-13,0
1234,3.10005277910886e-13,0
1235,3.08308049928163e-13,0
1236,2.12375785751022e-13,0
1237,2.22044604925031e-16,0
1270,2.22044604925031e-16,0
1303,4.09433221639757e-07,0
1304,2.67515578144151e-07,0
1305,1.83876609806832e-07,0
1306,7.43013480538139e-08,0
1307,2.46859926457003e-08,0
1308,9.21845361433453e-09,0
1309,2.99319789017838e-09,0
1310,3.96212487280239e-10,0
1311,3.60164701412195e-11,0
1312,5.08288451866394e-12,0
1313,9.59125030535845e-13,0
1314,4.00738077245367e-13,0
1315,4.10784917652899e-13,0
1316,5.1540626852389e-13,0
1317,1.15453780089485e-13,0
1348,2.22044604925031e-16,0
1350,2.22044604925031e-16,0
1384,1.02626325239639e-06,0
1385,2.74243970191367e-07,0
1386,2.33680558282082e-07,0
1387,1.44540051190887e-07,0
1388,5.36829605062742e-08,0
1389,1.84756808690324e-08,0
1390,6.38172502231119e-09,0
1391,2.0352667082389e-09,0
1392,1.6278564185264e-10,0
1393,1.25902422293e-11,0
1394,1.24872513950101e-12,0
1395,4.49858720486572e-13,0
1396,3.49380869827178e-13,0
1397,6.50210812545964e-13,0
1398,6.11904983630859e-13,0
1428,2.22044604925031e-16,0
1429,2.22044604925031e-16,0
1432,2.22044604925031e-16,0
1466,5.22168779709504e-07,0
1467,3.04826462511075e-07,0
1468,2.48952813098539e-07,0
1469,1.26621914328602e-07,0
1470,5.86002813614952e-08,0
1471,1.84473493632161e-08,0
1472,5.4437434297701e-09,0
1473,8.32658821097192e-10,0
1474,4.58674559474805e-11,0
1475,3.24155822324287e-12,0
1476,6.02390245111707e-13,0
1477,3.27590748645101e-13,0
1478,4.59351916062064e-13,0
1479,1.16054882936054e-12,0
1480,2.77578691316228e-13,0
1509,2.22044604925031e-16,0
1510,2.22044604925031e-16,0
1511,2.22044604925031e-16,0
1512,2.22044604925031e-16,0
1513,2.22044604925031e-16,0
1514,2.22044604925031e-16,0
1541,0.000237094627849906,0
1547,3.22702033433259e-07,0
1548,3.05796728566707e-07,0
1549,1.91202935475758e-07,0
1550,9.23902195578844e-08,0
1551,3.91359330531312e-08,0
1552,1.23784288437439e-08,0
1553,3.15778577983821e-09,0
1554,2.96964920583513e-10,0
1555,1.04317003445544e-11,0
1556,7.01504010122457e-13,0
1557,3.7153200125243e-13,0
1558,3.66626676484926e-13,0
1559,7.39499750972801e-13,0
1560,1.27722809282709e-12,0
1590,2.22044604925031e-16,0
1591,2.22044604925031e-16,0
1592,2.22044604925031e-16,0
1593,2.22044604925031e-16,0
1594,2.22044604925031e-16,0
1623,0.000367089872159587,0
1624,7.51162150229189e-05,0
1628,1.07091729605336e-06,0
1629,4.60418868640449e-07,0
1630,3.14437680797322e-07,0
1631,1.84517757267083e-07,0
1632,9.74895964643188e-08,0
1633,3.87573514616759e-08,0
1634,1.07235738569967e-08,0
1635,1.17653224394446e-09,0
1636,9.63601726661674e-11,0
1637,2.94976130177011e-12,0
1638,4.70059039910904e-13,0
