"HID","trainpred1","trainpred2","trainpred3","trainpred4","trainpred5","trainpred6","trainpred7","trainpred8","trainpred9","trainpred10","trainpreds_mean"
61776,0.00211579018432392,0.000390000775993396,0.00350342479029538,1.65256368457067e-07,0.287091785666101,0.09503387526875,0.0967142797637102,NA,0.806057764678156,0.0183961378169199,0.145478136022291
61777,0.523356132768193,0.891314244517011,0.000131969282280396,2.90182704030353e-05,0.971927934515859,0.500458412495873,0.796498580810067,NA,0.446316162091152,0.592529430248524,0.524729098333263
61778,0.0314747860741151,0.984104714768693,4.31902688960534e-05,2.03916653837673e-06,0.0896865730284359,0.0625878529938627,0.0298095909043881,NA,0.000793056697416191,0.000929962185424993,0.133270196231974
61779,0.00542639126227952,0.593615900126017,6.92624599027665e-07,9.45165885768273e-07,0.002558449097296,0.00458497966885285,0.00155666946416261,NA,2.47787691084091e-06,1.50868684521606e-05,0.0675290657949395
61780,0.0249354928468391,0.00680590992171218,9.9712960940187e-07,1.38605615320888e-06,0.000475022782759703,0.00037648330959379,0.00178858096570627,NA,2.76488003695934e-07,1.70547278229952e-05,0.0038223560253556
61835,NA,3.20770080897923e-06,0.000546718937895363,1.16645564120451e-08,0.12723259307322,0.00475758209204918,0.0458532261825986,4.36336374039864e-05,0.0134763647540413,0.018330895003615,0.0233604703384655
61836,NA,9.0302198072558e-06,0.00464431679897402,2.59787563234735e-08,0.48195398420224,0.0235796552384148,0.3009035620542,0.000112111722726185,0.0307760749661421,0.0795346361924515,0.102390377485968
61837,NA,4.69778452139801e-05,0.00822292326720708,7.69461014764581e-08,0.801921098415431,0.0434019033903195,0.853253403394586,0.000319723024968378,0.122080072574479,0.278907953462354,0.234239348035629
61838,NA,5.33017396610387e-05,0.00924001932768072,8.76394255546064e-08,0.800395174218857,0.0624791597072279,0.89879156200427,0.000268057408314298,0.199388203804034,0.332191302220283,0.255867429785528
61839,NA,3.93265946147413e-05,0.0240069057824739,7.20035099467651e-08,0.677326195973023,0.0942154463145332,0.927003932438572,8.15766353395367e-05,0.440449607554143,0.474639352337558,0.293084712848196
61840,NA,1.84203787074729e-05,0.0296280472847992,3.78314445568085e-08,0.522584116151474,0.0729658177199793,0.879655502793562,1.6777340357509e-05,0.304251275182616,0.371227370787621,0.242260818385618
61841,NA,7.81617572749974e-06,0.153954644683112,2.23346104563255e-08,0.616710525818108,0.0928570309363803,0.894803999821682,1.26610081742587e-06,0.419649291413208,0.433285261793463,0.290141095453012
61842,NA,1.73115904198473e-06,0.300379734437333,4.91678681658529e-09,0.520122704669364,0.0694230825649441,0.780076195704186,1.52342012412306e-07,0.420645878899546,0.314034570083439,0.267187117197406
61843,NA,3.10960542335645e-07,0.347895029226337,1.5210689197698e-09,0.247879723921848,0.0442949199726392,0.367549726755486,5.77989698634152e-08,0.269556085303904,0.134782077549712,0.156884214778945
61844,NA,8.23330964332056e-08,0.341260250776739,2.50804404896782e-10,0.0775968556149016,0.0193470197548823,0.0877031440332383,1.58148529608277e-08,0.0958503446734905,0.0608463797892628,0.0758448992268076
61845,NA,2.56010601829218e-08,0.30320320951204,4.64765681554477e-11,0.0297928040927789,0.0155101677459607,0.0106323794949301,1.39812436570802e-09,0.0273884343092265,0.0215472193985569,0.045341582399906
61846,NA,5.84144870846999e-09,0.243471571629381,6.79699016366819e-12,0.0101201498652204,0.00155952853595061,0.00158603886787545,3.07452752721616e-11,0.00450330939430097,0.0083798561747404,0.0299578289273845
61847,NA,2.55398025795675e-09,0.424369351939612,4.24766881033392e-12,0.0074454249205799,0.00073797533597117,0.00116629595314217,2.07444518060934e-12,0.00251368909530212,0.00706138138799535,0.0492549023547672
