"HID","trainpred1","trainpred2","trainpred3","trainpred4","trainpred5","trainpred6","trainpred7","trainpred8","trainpred9","trainpred10","trainpreds_mean"
70460,0.00371011900811597,0.0109386606522964,7.51226318245507e-16,0.501252395173919,5.95850883287742e-08,6.06581004987879e-10,NA,2.30955730463773e-13,7.13369544697759e-17,1.07119839229826e-09,0.0573223595663812
70461,1.56222423001334e-05,0.000279447709413102,2.2539573713449e-16,6.9782301291052e-06,2.50286900763059e-08,5.87116584484774e-12,NA,9.81011928426403e-13,1.01999240293611e-15,6.06878113869897e-10,3.35637582515504e-05
70462,6.52411848672204e-07,9.10335021413308e-06,5.04111121979189e-17,3.33028263782421e-10,6.96999418147196e-07,1.93021981961028e-12,NA,1.48765132579624e-09,1.75603076629064e-08,2.57381655202265e-10,1.16360019779227e-06
70463,3.18034739025781e-08,3.9782237959199e-05,1.03488041057159e-20,2.29787720472223e-15,7.09338770790019e-08,1.77142452493565e-13,NA,6.74601098601455e-07,2.16772558754981e-05,8.87126471864965e-11,6.91521346404084e-06
70511,NA,0.5838834544849,1,1,2.11497032298649e-09,0.999934989074302,3.12545416998656e-13,0.999999999999989,0.999921636967481,0.999999935013517,0.731526668628386
70512,1,NA,0.999999999999923,1,9.1020786415543e-09,0.999994285722729,1.20402612815071e-11,1,0.999990138334436,0.999999996936154,0.777776047789707
70513,1,NA,0.999999999999976,1,3.39071875104804e-08,0.999998582027466,2.08293615564024e-10,1,0.999999176051211,0.999999999099818,0.777777532365995
70514,1,NA,0.999999999999463,1,7.41222360663135e-08,0.999998367476341,5.99631491993893e-10,1,0.999996377846217,0.999999997538085,0.777777201953552
70515,1,NA,0.99999999997758,1,3.94617710628505e-06,0.999998770852764,3.76590060613973e-08,0.999999999999999,0.999999808414791,0.999999999410858,0.777778062499123
70516,0.999999999999918,NA,0.999999999948369,1,1.93974151165636e-05,0.999991621701628,5.13901437960151e-07,0.999999999999778,0.999996752075316,0.999999958339021,0.777778693708954
70517,0.999999999981176,NA,0.999999999949073,1,0.00126073825471773,0.99998529261592,3.3160182198012e-05,0.999999999993878,0.999984624826327,0.999998175945417,0.77791799908319
70518,0.999999997070415,NA,0.999999999729461,1,0.206311028625131,0.999986093927675,0.0119248157976612,0.999999999952641,0.999984175048271,0.999998705191725,0.802022757260331
70519,0.999991619299709,NA,0.999999999664642,1,0.857333436047024,0.999999238371685,0.717899759855606,0.999999925662088,0.999949170099304,0.999999187894386,0.952796926321605
