"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
16098,0,0.389,0,1,1,0.487767277415077
16099,0,0.4,0,1,1,0.490143081395872
16100,0,0.351,0,1,1,0.477521755553637
16101,0,0.309,0,1,1,0.462312375707954
16102,0,0.231,0,1,1,0.421683313419937
16103,0,0.214,0,1,1,0.410332026988355
16104,0,0.191,0,1,1,0.393285740491152
16105,0,0.193,0,1,1,0.394850486775573
16106,0,0.138,0,1,1,0.345072564941166
16107,0,0.09,0,1,1,0.286324958712967
16108,0,0.08,0,1,1,0.271428947744476
16109,0,0.056,0,1,1,0.230036772966665
16113,0,0.029,0,1,1,0.167890402308134
16114,0,0.017,0,0,0,0.129335717138491
16115,0,0.022,0,0,0,0.146756729104793
16116,0,0.034,0,1,1,0.181319819316248
16117,0,0.064,0,1,1,0.244875404979683
16118,0,0.19,0,1,1,0.392497202606661
16157,0,0.278,0,1,1,0.448237567498438
16160,1,0.586,0,1,1,0.492794933868893
16161,1,0.611,0,1,1,0.487767277415077
16162,1,0.608,0,1,1,0.488440963243844
16163,0,0.494,0,1,1,0.500214168346134
16164,0,0.308,0,1,1,0.461897552872224
16165,0,0.238,0,1,1,0.426072221034812
16166,0,0.173,0,1,1,0.37843653921657
16167,0,0.156,0,1,1,0.363036906933435
16168,0,0.144,0,1,1,0.351265408754388
16169,0,0.131,0,1,1,0.337569182469243
16170,0,0.132,0,1,1,0.338660140392534
16171,0,0.201,0,1,1,0.400948574956639
16172,0,0.204,0,1,1,0.403170617166661
16173,0,0.252,0,1,1,0.434378503939461
16174,0,0.304,0,1,1,0.460212772308414
16175,0,0.326,0,1,1,0.468981816218864
16176,0,0.39,0,1,1,0.487993993957034
16177,0,0.431,0,1,1,0.495463908357092
16178,0,0.387,0,1,1,0.487307365497864
16179,0,0.412,0,1,1,0.492441365543654
16180,0,0.388,0,1,1,0.487538402275855
16181,0,0.333,0,1,1,0.47152235719352
16182,0,0.287,0,1,1,0.452587931606484
16183,0,0.219,0,1,1,0.413775555356053
16184,0,0.212,0,1,1,0.408929362143663
16185,0,0.186,0,1,1,0.389301368550838
16186,0,0.173,0,1,1,0.37843653921657
16187,0,0.148,0,1,1,0.355277669185979
16188,0,0.08,0,1,1,0.271428947744476
16189,0,0.072,0,1,1,0.258617251711642
16190,0,0.067,0,1,1,0.250147103868051
16191,0,0.049,0,1,1,0.215976030257169
16192,0,0.035,0,1,1,0.18387171834953
16193,0,0.023,0,0,0,0.149978310076802
16194,0,0.024,0,0,0,0.1531255937048
16195,0,0.015,0,0,0,0.121613279660528
16196,0,0.033,0,1,1,0.178725887724591
16197,0,0.062,0,1,1,0.241276219744537
16198,0,0.174,0,1,1,0.379299179893482
16239,0,0.361,0,1,1,0.480530862598762
16241,1,0.572,0,1,1,0.495036423974096
16242,1,0.626,0,1,1,0.484105730557239
16243,1,0.624,0,1,1,0.484622387905118
16244,1,0.557,0,1,1,0.496988931464271
16245,0,0.409,0,1,1,0.491895274383645
16246,0,0.314,0,1,1,0.464348597090181
16247,0,0.224,0,1,1,0.417130672569158
16248,0,0.19,0,1,1,0.392497202606661
16249,0,0.168,0,1,1,0.374053359717455
16250,0,0.171,0,1,1,0.376697359827357
16251,0,0.144,0,1,1,0.351265408754388
16252,0,0.153,0,1,1,0.360167628640777
16253,0,0.166,0,1,1,0.372266816386557
16254,0,0.243,0,1,1,0.429109700583819
16255,0,0.321,0,1,1,0.467094398571827
16256,0,0.347,0,1,1,0.476253942574566
16257,0,0.373,0,1,1,0.483844091733179
16258,0,0.414,0,1,1,0.492794933868893
16259,0,0.456,0,1,1,0.498309454367778
16260,0,0.412,0,1,1,0.492441365543654
16261,0,0.4,0,1,1,0.490143081395872
16262,0,0.362,0,1,1,0.480819287453392
16263,0,0.315,0,1,1,0.464748309293311
16264,0,0.281,0,1,1,0.449712398362822
16265,0,0.241,0,1,1,0.427904314189635
16266,0,0.223,0,1,1,0.416466618643613
16267,0,0.202,0,1,1,0.401693113405442
16268,0,0.178,0,1,1,0.382704144820072
16269,0,0.142,0,1,1,0.349224795737585
16270,0,0.089,0,1,1,0.284886223184204
