HID,Folds,BIO08_Mean,TXX_IDW1N10,BIO02_Mean,TN90P_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
59981,5,14.1187221,44.909512,14.482113899999998,11.552465,0.000885,0.0,0.0,3.561269,13.014391,8.652479,0
59982,5,12.2300253,44.746522,14.591636900000001,11.643027,0.005064,0.0,0.0,3.419688,11.244111,7.794737,0
59983,5,8.129821699999999,44.019592,12.897550599999999,11.819553,0.002634,0.0,0.0,3.488013,10.828435,8.060793,0
59984,5,13.9803311,42.665604,12.901527100000001,11.907785,0.001261,0.0,0.0,4.07411,11.484903,8.529873,0
59985,5,12.5360958,40.114308,11.4302699,11.985724,0.0,0.0,0.273006,5.028947,13.262181,9.24496,0
59991,5,4.5225292,36.277779,10.3788832,11.789025,0.612026,5.675868,28.154539,8.197359,30.847766,11.089443,0
59992,5,0.554689,37.891848,10.660456700000001,11.686084,2.666858,7.699403,41.543654,8.564712,28.847391,11.488322,0
59993,5,0.7681216,38.192627,11.9008222,11.674235,4.453241,7.752788,47.04925,9.012511,27.647285,11.160902,0
59994,5,9.848819,38.546692,12.0173129,11.601054,6.63346,9.110459,57.671726,9.696511,26.004177,10.649054,0
59995,5,13.899398099999999,38.383803,10.555195000000001,11.639776,7.680776,10.425282,66.916186,10.838163,26.687874,9.677782,0
59996,5,2.9035508,38.520613,10.4490139,11.825124,6.926805,16.295728,83.511663,11.898157,27.452202,8.071451,0
59997,5,5.496999000000001,36.505435,9.6590635,11.950041,3.380703,42.347386,141.735081,11.640045,30.262422,6.712907,0
60057,5,20.414672799999998,41.890395,13.046241900000002,10.687357,0.0,0.078904,1.121219,4.170222,15.615789,4.884382,0
60058,5,17.644806,43.11554,12.541421699999999,10.736548,0.0,0.002399,0.624962,4.105372,15.557856,5.85234,0
60059,5,15.749040099999998,44.047427,12.2302049,10.825934,0.0,0.002375,0.787701,4.02571,15.650783,7.063733,0
60060,5,13.3087534,43.898415,12.6660362,10.919244,0.0,0.0,0.809422,3.990048,15.984362,8.216825,0
60061,5,10.080887800000001,44.923096,13.712807699999999,11.094187,0.0,0.018509,1.081603,3.762331,14.362153,8.34769,0
60062,5,13.8843683,45.259359,14.8812716,11.343146,0.001523,0.0,0.0,3.60079,13.17319,8.321017,0
60063,5,14.7813515,44.83124,15.040623199999999,11.569618,0.003675,0.0,0.0,3.504134,11.927102,7.947445,0
60064,5,10.3389015,44.549867,15.173175599999999,11.716765,0.005882,0.0,0.0,3.459503,10.906022,7.664884,0
60065,5,8.8972483,44.13661,12.246264499999999,11.850332,0.002945,0.0,0.0,3.637684,10.69369,7.993043,0
60066,5,13.556457599999998,41.489697,12.896756,11.959733,0.001069,0.0,0.0,4.661618,12.534119,8.918127,0
