HID,Folds,BIO03_Mean,TN10P_IDW1N10,GSL_IDW1N10,TNX_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
78236,4,50.347646,9.9803,362.99431,20.483876,0.017682,11.965082,809.437237,45.839481,68.100435,6.559947,1
78237,4,49.102449,9.993211,358.088444,19.845713,0.069678,15.024226,707.456946,50.42725,69.659432,5.885631,1
78238,4,48.195112,10.042384,344.665299,18.90004,0.22271,15.841436,601.584156,54.716674,71.897438,5.221071,1
78239,4,47.827663,10.039384,329.436195,18.001898,0.847557,13.193417,680.586247,59.657896,75.851343,4.794574,1
78240,4,46.448082,10.083401,293.325221,16.405862,2.285092,10.054094,672.70124,66.686204,78.551782,4.332609,1
78241,4,44.848994,10.200124,240.929974,13.86972,20.46035,8.825691,598.839915,66.04025,73.964494,4.070304,0
78288,2,89.595591,10.221982,365.0,25.366448,0.0,184.788745,943.915419,36.199981,83.509346,2.796487,1
78289,2,90.677761,10.182634,365.0,24.781784,0.0,108.296143,714.733928,39.718566,88.295497,2.013202,1
78290,2,89.915435,10.143418,365.0,24.184008,0.0,121.171012,593.130025,45.947639,93.17309,1.39405,1
78291,2,88.344131,10.133965,365.0,24.34176,0.0,100.847784,432.426892,51.28706,96.568487,1.940033,1
78297,3,71.350785,9.770738,365.0,27.609817,0.0,36.966476,380.503104,43.017842,83.379228,7.351472,1
78298,3,72.624578,9.775417,365.0,27.646033,0.0,46.436364,411.443361,39.817451,78.024999,7.273437,1
78299,3,68.327966,9.776405,365.0,27.869964,0.0,36.712051,337.546448,36.821095,73.934775,7.303504,1
78302,3,63.475672,9.759144,365.0,27.579573,0.0,30.420696,419.738874,35.93553,72.000412,7.141824,1
78303,3,62.975137,9.972478,365.0,26.921714,0.0,12.611746,313.762533,40.843638,72.256959,6.523988,1
78304,3,59.653459,10.252825,365.0,26.256659,0.0,4.65103,251.834148,44.987044,71.817529,6.398985,1
78305,3,55.179366,10.530648,365.0,25.841364,0.0,6.64688,243.997174,46.756718,71.177609,6.724096,1
78306,3,54.676303,10.676253,365.0,25.793928,0.0,6.642431,257.132235,45.935609,70.915114,7.218928,1
78307,7,53.96205,10.620419,365.0,25.826886,0.0,2.702143,228.951017,44.155426,70.539976,7.755841,1
78308,7,51.476933,10.46822,365.0,25.896417,0.0,1.06607,197.656222,41.964219,70.451673,8.311952,1
78309,7,50.330048,10.446878,365.0,25.830411,0.0,4.708227,285.698615,40.838693,70.536071,8.324358,1
78310,7,51.91803,10.488019,365.0,25.345899,0.0,7.281563,335.809334,39.211731,69.760637,8.316407,1
78311,7,51.995909,10.505942,365.0,24.480044,0.0,8.483478,346.680246,38.42076,69.375739,8.003524,1
78312,7,52.001568,10.399476,364.988102,23.471111,0.0,7.758752,421.507804,37.110544,69.326862,7.751214,1
78313,7,52.250459,10.291056,364.934119,22.683889,0.0,8.817035,443.597837,36.379573,69.686051,7.45848,1
78314,7,52.244679,10.207474,364.754635,22.057271,0.0,7.04684,563.614959,35.775416,69.82462,7.35626,1
78315,4,51.995082,10.083392,364.140196,21.304384,0.001277,8.284441,619.333466,35.35651,68.485675,7.190512,1
78316,4,51.917004,9.986084,363.328673,20.653968,0.005309,9.721227,702.221834,36.872306,66.879447,6.846173,1
78317,4,50.982429,9.962801,361.837201,19.994932,0.022345,11.419814,799.341582,40.893543,66.327309,6.307791,1
78318,4,49.738517,9.974874,356.663793,19.400442,0.08835,13.492387,720.010801,44.880633,65.409583,5.758063,1
78319,4,48.421003,10.019448,353.124408,18.903095,0.12791,15.530113,568.432723,48.064375,67.565875,5.339772,1
78320,4,48.272004,10.036899,331.629973,17.815406,0.409181,14.206736,597.83358,52.952973,68.560759,4.798033,1
78321,4,47.69879,10.141072,292.74944,15.866471,2.42272,9.418801,649.448123,55.00372,66.820122,4.115934,1
78322,4,46.346403,10.227457,251.023602,14.143343,17.337911,7.601563,608.521156,56.6308,67.190225,3.871684,0
78368,2,89.473254,10.266831,365.0,25.776825,0.0,167.898454,911.017352,34.517539,81.102494,3.557031,1
78369,2,89.964401,10.153802,365.0,24.822857,0.0,154.322238,853.101198,38.565946,85.094008,2.007273,1
78370,2,90.017145,10.138161,365.0,24.098881,0.0,103.709001,634.376548,43.29551,90.0115,1.414984,1
78371,2,88.855969,10.124303,365.0,23.783619,0.0,125.708425,502.311419,49.778763,93.114492,1.070152,1
78377,3,73.867984,9.747629,365.0,27.134749,0.0,34.478178,387.336386,46.326816,86.1234,6.810615,1
78378,3,73.991423,9.798238,365.0,26.820146,0.0,47.372115,338.113307,44.342555,82.457289,6.376701,1
78379,3,71.492727,9.67576,365.0,27.949211,0.0,46.619918,347.481164,37.778292,77.602024,7.405799,1
78383,3,63.005805,9.715959,365.0,27.428953,0.0,22.951949,284.455187,36.495563,72.234197,7.293386,1
78384,3,62.190581,10.0188,365.0,26.5434,0.0,8.755691,243.326058,42.619279,71.488555,6.603073,1
78385,3,57.903085,10.340596,365.0,25.819069,0.0,5.315424,254.171012,46.716148,69.749633,7.216481,1
78386,3,55.243274,10.702763,365.0,25.703001,0.0,8.483096,249.008198,46.165172,69.583605,7.128128,1
78387,3,54.848954,10.682484,365.0,25.744552,0.0,4.318293,240.499304,44.800031,69.789134,7.753821,1
78388,7,53.64284,10.568208,365.0,25.873378,0.0,2.567739,221.868011,42.957781,70.409792,8.060441,1
78389,7,51.760524,10.448399,365.0,25.908076,0.0,3.109761,242.339311,40.837888,69.973335,8.608204,1
78390,7,52.421245,10.385734,365.0,25.764208,0.0,4.185834,384.913472,39.259669,70.079485,8.472812,1
78391,7,52.020134,10.772039,365.0,25.040734,0.0,6.953861,347.259882,39.247426,69.564785,8.184059,1
78392,7,52.120905,10.495722,365.0,24.117107,0.0,8.81265,400.623753,37.182544,69.714734,7.855357,1
78393,7,52.389106,10.455666,364.985053,23.217358,0.0,8.572539,488.549686,36.984958,69.823072,7.575357,1
78394,7,52.763745,10.310187,364.79592,22.274519,0.0,8.695193,483.339274,35.750522,69.848582,7.363068,1
78395,7,52.529515,10.145519,364.285082,21.506176,0.001211,8.433884,600.153902,34.491464,69.582966,7.055422,1
78396,4,52.131416,9.997109,363.273661,20.733539,0.004023,12.043926,684.976656,34.019306,67.143776,6.968767,1
78397,4,51.629231,9.944139,362.392454,20.209664,0.009587,12.673585,830.135123,35.536453,65.357519,6.294608,1
78398,4,50.129979,9.956232,360.023941,19.456971,0.048359,12.864827,742.550685,40.234424,64.566789,5.885703,1
78399,4,48.993748,10.000348,353.986115,18.785753,0.119272,14.328027,615.274273,45.628305,65.784739,5.490404,1
78400,4,48.231161,10.058659,334.593215,17.592443,0.388113,15.045284,542.482304,49.209559,65.412561,4.874102,1
