HID,CDD_present,CDD_future,outlier_marker
49268,380.702044,509.177125,pf
49269,334.158727,422.563746,f
49270,308.779011,373.546632,f
49345,362.921745,414.51976,f
49346,403.290271,474.562896,pf
49347,421.031512,484.264772,pf
49348,419.001699,544.714545,pf
49349,389.975876,534.855472,pf
49350,353.369666,475.203746,f
49351,333.831216,410.704283,f
49425,338.649141,377.489144,f
49426,381.76184,443.760353,pf
49427,413.532673,486.407693,pf
49428,429.228704,513.356776,pf
49429,409.774824,565.763095,pf
49430,376.900095,505.466871,pf
49431,341.60843,434.56649,f
49507,373.024525,435.101876,pf
49508,397.595696,464.030629,pf
49509,427.17146,503.473233,pf
49510,422.497577,530.040401,pf
49511,388.982956,517.878828,pf
49512,362.460209,490.386557,f
49513,333.048931,398.143766,f
49588,346.077006,391.206123,f
49589,379.904871,446.31285,pf
49590,415.817558,494.50091,pf
49591,433.687472,496.90592,pf
49592,408.055876,528.634842,pf
49593,381.405309,502.083681,pf
49594,344.082543,428.270458,f
49595,320.715813,368.71849,f
49669,364.5182,431.532366,f
49670,401.847339,472.877798,pf
49671,420.953662,497.034875,pf
49672,421.857985,524.327911,pf
49673,386.52809,515.854356,pf
49674,372.172759,478.218303,pf
49675,342.24103,415.898651,f
49750,341.971949,384.31541,f
49751,390.642445,456.845182,pf
49752,414.408856,475.665989,pf
49753,423.425676,518.968998,pf
49754,424.53912,533.549093,pf
49755,386.829768,491.826911,pf
49756,356.000032,434.518948,f
49757,332.100305,380.309808,f
49832,360.473583,411.168345,f
49833,398.073975,473.416126,pf
49834,418.861437,505.450787,pf
49835,434.362621,538.549752,pf
49836,409.725753,515.328928,pf
49837,374.07032,438.36733,pf
49838,345.274362,411.017831,f
49912,342.285696,382.41904,f
49913,387.343365,463.823621,pf
49914,409.588217,491.030984,pf
49915,425.307195,530.354652,pf
49916,432.109412,534.328591,pf
49917,399.723607,467.877829,pf
49918,364.600267,419.727299,f
49994,372.008328,435.805721,pf
49995,397.706424,476.46131,pf
49996,422.958629,515.741527,pf
49997,432.303989,521.103488,pf
49998,410.401459,483.178216,pf
49999,385.203771,417.970878,pf
50000,359.084799,389.272862,f
50075,347.614458,383.743248,f
50076,386.759481,454.420605,pf
50077,417.769037,508.919378,pf
50078,421.359197,536.782199,pf
50079,430.559718,501.244151,pf
50080,400.712703,448.867881,pf
50081,368.958197,406.441877,pf
50156,376.599742,437.787645,pf
50157,396.821287,473.794708,pf
50158,424.045209,519.344202,pf
50159,434.58938,522.172922,pf
50160,420.954173,448.725699,pf
50161,399.813744,447.846644,pf
50162,360.545887,389.942584,f
50237,350.671076,382.376614,f
50238,394.888459,456.934144,pf
50239,403.283468,527.211246,pf
50240,435.133091,525.227869,pf
50241,436.653298,503.904686,pf
50242,410.442305,455.969677,pf
50243,369.899124,420.75296,pf
50244,354.4382,390.764958,f
50319,362.934914,400.035669,f
50320,406.106472,478.975099,pf
50321,429.118657,520.363503,pf
50322,457.289412,539.208741,pf
50323,433.280639,486.99356,pf
50324,400.474051,443.822818,pf
50325,361.861675,406.15084,f
50399,351.141632,372.931891,f
50400,401.921739,453.28866,pf
50401,418.726097,495.902392,pf
50402,448.397725,539.487638,pf
50403,450.283623,523.582835,pf
50404,416.315769,451.144214,pf
50405,381.726795,433.55357,pf
50406,348.476015,387.637575,f
50481,381.87752,403.339923,pf
50482,409.643055,467.323919,pf
50483,438.851774,515.782523,pf
50484,459.156285,542.552077,pf
50485,435.580938,493.932135,pf
50486,410.506923,447.093821,pf
50487,363.68939,403.356845,f
50488,324.082073,379.895201,f
50563,400.775342,437.58825,pf
50564,434.540797,492.587877,pf
50565,446.067812,523.14093,pf
50566,445.817688,523.828119,pf
50567,423.012081,465.364458,pf
50568,390.103548,438.489043,pf
50569,361.413379,395.247093,f
50643,381.076841,377.579197,pf
50644,424.824769,462.14862,pf
50645,441.825007,511.319377,pf
50646,450.1148,524.593119,pf
50647,445.832137,521.671482,pf
50648,409.351224,449.198655,pf
50649,378.920051,412.945047,pf
50650,336.326905,376.810101,f
50725,400.450823,411.280975,pf
50726,443.646233,482.090375,pf
50727,450.763293,534.967306,pf
50728,453.831799,530.573541,pf
50729,434.116053,503.02098,pf
50730,401.952469,459.738889,pf
50731,358.871657,393.927942,f
50807,425.365472,449.59479,pf
50808,441.031172,493.401811,pf
50809,455.127042,542.40827,pf
50810,446.203179,527.791666,pf
50811,416.429872,478.596616,pf
50812,382.710977,423.658007,pf
50887,389.585341,380.683243,pf
50888,425.68126,451.806821,pf
50889,447.375329,515.826666,pf
50890,450.283633,533.669625,pf
50891,430.656721,496.732828,pf
50892,407.685416,474.302116,pf
50893,354.852387,387.538648,f
50968,367.836871,360.949505,p
50969,407.344456,419.270422,pf
50970,431.601637,456.832262,pf
50971,453.244839,548.482914,pf
50972,441.808894,508.452279,pf
50973,422.322234,475.740542,pf
50974,370.233505,401.415848,pf
51050,374.969282,367.302419,pf
51051,406.96726,418.237513,pf
51052,436.292039,485.138381,pf
51053,443.960264,516.534016,pf
51054,438.68045,497.654435,pf
51055,404.53316,439.245687,pf
51056,344.97878,370.440212,f
51131,392.78068,406.035423,pf
51132,425.635094,412.506787,pf
51133,434.371832,496.841848,pf
51134,442.375871,510.293835,pf
51135,421.884132,463.850821,pf
51136,380.031115,376.915596,pf
51213,390.019541,397.288483,pf
51214,424.496993,468.445108,pf
51215,448.881056,542.950622,pf
51216,433.050305,492.858831,pf
51217,401.484783,417.698277,pf
51294,374.159544,381.575008,pf
51295,400.60718,420.55591,pf
51296,423.316271,480.892587,pf
51297,435.966347,506.640769,pf
51298,412.913498,425.791491,pf
51299,379.116747,384.178902,pf
51375,388.204868,405.425418,pf
51376,397.228582,432.856227,pf
51377,422.494118,478.478287,pf
51378,422.199386,449.321627,pf
51379,404.525705,409.019607,pf
51457,378.848119,403.216659,pf
51458,405.575754,450.254763,pf
51459,413.617996,440.609489,pf
51460,414.449296,422.387215,pf
51539,380.818335,403.124467,pf
51540,401.889334,435.941745,pf
51541,417.330359,429.051809,pf
51542,379.339155,366.383783,pf
51619,359.021519,366.018349,f
51620,380.046802,409.432405,pf
51621,409.758508,429.178695,pf
