HID	Elevation_Mean
483	1071.135698
484	1429.866025
485	1213.781821
486	1109.173732
487	445.613869
488	-72.612224
489	-62.890041
490	-34.101699
491	-17.328874
492	-2.797223
493	1.408678
494	5.763719
495	-6.856993
496	-11.876180
497	-15.747042
498	209.544788
499	218.946366
500	-4.475114
501	-28.127549
502	169.480418
503	125.163394
504	-25.011498
505	-40.693410
506	-42.332855
507	-39.300998
508	-63.806695
509	-150.449192
510	-1019.724412
511	-1906.425272
512	-1987.874719
513	-1312.485631
514	-1645.715457
515	-1643.457426
516	-2291.789208
517	-3515.454624
518	-3594.066346
519	-3801.226845
520	-3774.791511
521	-3452.322584
522	-2500.514840
523	-2289.731238
524	-2261.739763
525	-2472.888166
526	-2353.477059
527	-2977.078125
528	-3222.062199
529	-2613.118357
530	-1641.995330
531	-3603.286174
532	-4065.753108
533	-4208.956120
534	-4078.506061
535	-3891.509096
536	-3841.685846
537	-3020.776886
538	-3995.316800
539	-3000.474207
540	-1994.632110
541	-2249.978150
542	-2900.078162
543	-3258.950672
544	-2436.293843
545	-2740.305811
546	-2882.723916
547	-2653.799933
548	-3013.622360
549	-3045.560973
550	-2544.544617
551	-2333.430450
552	-2848.077138
553	-3043.480243
554	-3114.217016
555	-3175.766645
556	-3084.622210
557	-1761.991089
558	-1427.553371
559	-538.233677
560	-378.959495
561	-277.404235
562	-296.442201
563	-205.747962
564	220.021858
565	1249.952592
566	964.088726
567	1217.875780
568	832.393339
569	-67.358300
570	-44.177867
571	-23.029026
572	-15.686562
573	19.568761
574	8.047505
575	5.312130
576	-1.852507
577	-16.538407
578	132.911956
579	195.929695
580	9.493527
581	-21.580784
582	119.144384
583	416.041390
584	51.926471
585	-19.419496
586	-42.649886
587	-42.908165
588	-40.028612
589	-139.411158
590	-416.341839
591	-1764.198540
592	-1948.048182
593	-1899.194548
594	-1619.383496
595	-1697.954582
596	-2180.335362
597	-3338.400811
598	-3505.357552
599	-3601.318704
600	-3768.145532
601	-3541.636856
602	-2783.202870
603	-2391.561725
604	-2129.464925
605	-2319.953006
606	-2383.811631
607	-2488.202659
608	-2983.351374
609	-2972.370838
610	-2094.505944
611	-2059.749495
612	-3760.235517
613	-4145.206521
614	-4100.818046
615	-3318.801544
616	-3863.576624
617	-3347.344314
618	-3392.805729
619	-3073.696884
620	-2589.275186
621	-2867.848594
622	-2690.217378
623	-2897.007914
624	-2377.726199
625	-3066.066603
626	-3061.251064
627	-3070.733117
628	-3095.098677
629	-3261.802072
630	-2992.896902
631	-2437.895006
632	-2546.332892
633	-2999.219760
634	-3139.586454
635	-3197.692180
636	-3194.032235
637	-2498.364140
638	-1317.246005
639	-1194.947910
640	-437.998368
641	-370.575860
642	-278.828115
643	-253.507985
644	-107.858585
645	499.237014
646	1159.095820
647	1066.914064
648	1225.265418
649	692.670741
650	-72.230985
651	-61.280606
652	-37.598608
653	-19.385107
654	8.949022
655	15.589294
656	14.832514
657	3.080773
658	-8.538360
659	-17.725872
660	200.916164
661	244.940733
662	-18.147838
663	76.174547
664	280.266602
665	377.533365
666	24.880070
667	-21.774545
668	-45.785505
669	-35.844106
