"HID","probs","pred_labels"
664,1.25904121568384e-12,0
665,1.53561198660393e-13,0
666,2.22044604925031e-16,0
727,5.88921977400802e-05,0
728,1.53211848598651e-05,0
729,1.73298330170873e-05,0
730,0.000331260369724594,0
736,8.53006929071621e-08,0
737,5.5884629234007e-08,0
738,9.26309972526035e-09,0
741,1.0270181724208e-10,0
742,7.79626514983783e-11,0
745,2.21048067355857e-12,0
746,7.10036850569051e-13,0
747,2.22044604925031e-16,0
748,2.22044604925031e-16,0
809,0.000183890327881671,0
810,0.000117054366545042,0
811,0.000358798286485547,0
816,4.36767306904656e-08,0
817,9.73200193809117e-08,0
818,4.52285321693915e-08,0
819,8.41920986432113e-09,0
822,1.29298835147027e-10,0
823,6.48501507718192e-11,0
825,5.97057752131384e-12,0
826,1.52329185000885e-12,0
827,1.73323967628363e-13,0
828,2.22044604925031e-16,0
829,2.22044604925031e-16,0
889,0.00129554069986346,0
890,0.000378013465669502,0
891,0.000504448563906925,0
892,0.00280846794547559,0
898,1.01240856881079e-07,0
899,1.05853795902973e-07,0
900,2.03794116683454e-08,0
901,4.16481084690303e-09,0
904,1.04201037962034e-10,0
905,3.87842019279642e-11,0
906,1.07187220413179e-11,0
907,2.9817743724793e-12,0
908,3.9655425100439e-13,0
909,2.22044604925031e-16,0
910,2.22044604925031e-16,0
911,2.22044604925031e-16,0
972,0.000752512588456937,0
973,0.00271294143440814,0
979,7.40145682647144e-08,0
980,2.35519419922051e-07,0
981,7.61555100179407e-08,0
982,1.35376170623215e-08,0
983,2.03997521952421e-09,0
985,2.370354891547e-10,0
986,7.46125107457032e-11,0
987,1.98629461382798e-11,0
988,5.52238321012641e-12,0
989,1.1099976482675e-12,0
990,1.73444121441108e-13,0
991,2.22044604925031e-16,0
992,2.22044604925031e-16,0
1060,1.37939692649417e-07,0
1061,1.45921811797544e-07,0
1062,3.93607194634445e-08,0
1063,8.93479817939378e-09,0
1064,2.42058630709214e-09,0
1065,8.60621287044702e-10,0
1066,1.84481672541935e-10,0
1067,4.32660739609517e-11,0
1068,7.71891390334806e-12,0
1069,2.1608095676879e-12,0
1070,3.28018199594407e-13,0
1071,9.94080739733753e-14,0
1072,2.22044604925031e-16,0
1073,2.22044604925031e-16,0
1141,1.06992262211873e-07,0
1142,1.96981526164412e-07,0
1143,7.83353289961562e-08,0
1144,1.8860890695285e-08,0
1145,4.35753887666269e-09,0
1146,1.82737115645675e-09,0
1147,6.13149661937427e-10,0
1148,9.40317693491847e-11,0
1149,1.56012899557267e-11,0
1150,2.69969480368857e-12,0
1151,6.15391337159862e-13,0
1152,1.59763373344546e-13,0
1153,1.11514914893812e-13,0
1154,1.11402769015388e-13,0
1155,2.22044604925031e-16,0
1188,2.22044604925031e-16,0
1222,1.50988982256664e-07,0
1223,1.46357235474903e-07,0
1224,1.35569097038235e-07,0
1225,4.37486142201849e-08,0
1226,1.28889241096063e-08,0
1227,4.20873749124285e-09,0
1228,1.65662637409741e-09,0
1229,3.18046843679129e-10,0
